Date, Bed Time, Sleep Onset Time, Ring Time, Wake Time, Time In Bed, Total Sleep Time, Total Awake Time, Sleep Onset Latency, Halfway Awakening, Snooze, Sleep Efficiency
5/24/2014, 11:10 PM, 4:08 AM, 5:34 AM, 6:09 AM, 6h 58m 41s, 1h 29m 41s, 5h 29m 00s, 4h 57m 11s,2,4,21.40%
5/26/2014, 12:46 AM, -, -, 1:46 AM, 1h 00m 00s, 0h 00m 00s, 1h 01m 00s, -,0,0,0.00%
6/19/2014, 12:30 AM, 12:38 AM, 6:00 AM, 6:00 AM, 5h 29m 49s, 5h 18m 49s, 11m 00s, 7m 14s,1,0,96.70%
7/9/2014, 1:03 AM, 1:17 AM, 7:49 AM, 8:32 AM, 7h 29m 34s, 6h 27m 34s, 1h 02m 00s, 13m 39s,7,3,86.20%
7/10/2014, 12:52 AM, 1:56 AM, 8:06 AM, 8:18 AM, 7h 26m 17s, 6h 12m 17s, 1h 14m 00s, 1h 03m 27s,3,1,83.40%
7/11/2014, 2:18 AM, 2:28 AM, 8:17 AM, 8:29 AM, 6h 11m 22s, 5h 46m 22s, 25m 00s, 10m 40s,2,1,93.30%
7/12/2014, 1:03 AM, 1:50 AM, 6:37 AM, 6:49 AM, 5h 46m 04s, 4h 46m 04s, 1h 00m 00s, 46m 55s,1,1,82.70%
7/12/2014, 11:37 PM, 12:03 AM, 5:33 AM, 5:56 AM, 6h 18m 42s, 5h 40m 42s, 38m 00s, 25m 40s,0,2,90.00%
7/13/2014, 11:26 PM, 11:47 PM, 5:10 AM, 5:39 AM, 6h 13m 07s, 5h 28m 07s, 45m 00s, 20m 22s,2,1,87.90%
7/15/2014, 12:56 AM, 1:07 AM, 7:32 AM, 8:03 AM, 7h 07m 40s, 6h 21m 40s, 46m 00s, 10m 44s,5,3,89.20%
7/16/2014, 1:26 AM, 1:41 AM, 7:31 AM, 7:50 AM, 6h 23m 07s, 5h 38m 07s, 45m 00s, 14m 03s,5,1,88.30%
7/17/2014, 12:01 AM, 12:10 AM, 6:02 AM, 6:52 AM, 6h 51m 22s, 6h 10m 22s, 41m 00s, 9m 00s,6,4,90.00%
7/18/2014, 12:19 AM, 12:24 AM, 8:03 AM, 8:09 AM, 7h 50m 13s, 7h 38m 13s, 12m 00s, 4m 42s,1,0,97.40%
7/19/2014, 1:58 AM, 2:07 AM, 8:42 AM, 8:46 AM, 6h 47m 48s, 6h 32m 48s, 15m 00s, 8m 47s,0,0,96.30%
7/19/2014, 11:49 PM, 12:07 AM, 6:30 AM, 7:03 AM, 7h 13m 54s, 6h 37m 54s, 36m 00s, 17m 48s,5,1,91.70%
7/20/2014, 11:47 PM, 12:08 AM, 6:07 AM, 6:30 AM, 6h 43m 20s, 6h 07m 20s, 36m 00s, 21m 51s,1,2,91.10%
7/22/2014, 12:31 AM, 12:59 AM, 6:45 AM, 7:27 AM, 6h 56m 45s, 5h 43m 45s, 1h 13m 00s, 27m 59s,4,4,82.50%
7/23/2014, 12:15 AM, 12:33 AM, 7:14 AM, 7:14 AM, 6h 58m 43s, 6h 31m 43s, 27m 00s, 17m 32s,5,0,93.60%
7/24/2014, 1:11 AM, 2:19 AM, 8:01 AM, 8:44 AM, 7h 32m 46s, 6h 05m 46s, 1h 27m 00s, 1h 07m 32s,1,4,80.80%
7/25/2014, 1:31 AM, 1:36 AM, 8:26 AM, 8:57 AM, 7h 26m 04s, 6h 59m 04s, 27m 00s, 4m 49s,5,3,93.90%
7/26/2014, 2:18 AM, 3:40 AM, 8:00 AM, 8:24 AM, 6h 06m 03s, 4h 30m 03s, 1h 36m 00s, 1h 21m 42s,1,2,73.80%
7/28/2014, 1:20 AM, 1:41 AM, 8:11 AM, 8:20 AM, 6h 59m 34s, 6h 19m 34s, 40m 00s, 20m 13s,5,0,90.50%
7/29/2014, 1:01 AM, 1:13 AM, 7:37 AM, 8:18 AM, 7h 17m 05s, 6h 42m 05s, 35m 00s, 11m 27s,1,4,92.00%
7/31/2014, 12:34 AM, 12:54 AM, 7:04 AM, 8:48 AM, 8h 14m 18s, 7h 05m 18s, 1h 09m 00s, 19m 22s,6,10,86.00%
